image_path,labels
garbage_classification\paper\paper474.jpg,paper
garbage_classification\cardboard\cardboard219.jpg,cardboard
garbage_classification\clothes\clothes1147.jpg,clothes
garbage_classification\white-glass\white-glass224.jpg,white-glass
garbage_classification\cardboard\cardboard717.jpg,cardboard
garbage_classification\metal\metal169.jpg,metal
garbage_classification\metal\metal149.jpg,metal
garbage_classification\shoes\shoes1875.jpg,shoes
garbage_classification\plastic\plastic416.jpg,plastic
garbage_classification\paper\paper96.jpg,paper
garbage_classification\clothes\clothes4338.jpg,clothes
garbage_classification\trash\trash663.jpg,trash
garbage_classification\trash\trash637.jpg,trash
garbage_classification\green-glass\green-glass152.jpg,green-glass
garbage_classification\green-glass\green-glass447.jpg,green-glass
garbage_classification\battery\battery538.jpg,battery
garbage_classification\clothes\clothes3373.jpg,clothes
garbage_classification\trash\trash148.jpg,trash
garbage_classification\clothes\clothes603.jpg,clothes
garbage_classification\green-glass\green-glass514.jpg,green-glass
garbage_classification\plastic\plastic557.jpg,plastic
garbage_classification\shoes\shoes1053.jpg,shoes
garbage_classification\plastic\plastic394.jpg,plastic
garbage_classification\battery\battery461.jpg,battery
garbage_classification\plastic\plastic497.jpg,plastic
garbage_classification\paper\paper983.jpg,paper
garbage_classification\metal\metal383.jpg,metal
garbage_classification\clothes\clothes2032.jpg,clothes
garbage_classification\clothes\clothes387.jpg,clothes
garbage_classification\biological\biological228.jpg,biological
garbage_classification\battery\battery406.jpg,battery
garbage_classification\metal\metal45.jpg,metal
garbage_classification\paper\paper411.jpg,paper
garbage_classification\plastic\plastic56.jpg,plastic
garbage_classification\green-glass\green-glass585.jpg,green-glass
garbage_classification\trash\trash378.jpg,trash
garbage_classification\shoes\shoes1537.jpg,shoes
garbage_classification\white-glass\white-glass279.jpg,white-glass
garbage_classification\clothes\clothes842.jpg,clothes
garbage_classification\metal\metal427.jpg,metal
garbage_classification\shoes\shoes221.jpg,shoes
garbage_classification\green-glass\green-glass569.jpg,green-glass
garbage_classification\shoes\shoes912.jpg,shoes
garbage_classification\plastic\plastic586.jpg,plastic
garbage_classification\clothes\clothes2323.jpg,clothes
garbage_classification\plastic\plastic791.jpg,plastic
garbage_classification\shoes\shoes635.jpg,shoes
garbage_classification\clothes\clothes2584.jpg,clothes
garbage_classification\shoes\shoes1328.jpg,shoes
garbage_classification\battery\battery149.jpg,battery
garbage_classification\clothes\clothes1915.jpg,clothes
garbage_classification\clothes\clothes1057.jpg,clothes
garbage_classification\clothes\clothes2187.jpg,clothes
garbage_classification\trash\trash29.jpg,trash
garbage_classification\clothes\clothes4366.jpg,clothes
garbage_classification\plastic\plastic74.jpg,plastic
garbage_classification\clothes\clothes1142.jpg,clothes
garbage_classification\clothes\clothes586.jpg,clothes
garbage_classification\biological\biological328.jpg,biological
garbage_classification\plastic\plastic198.jpg,plastic
garbage_classification\shoes\shoes1120.jpg,shoes
garbage_classification\metal\metal79.jpg,metal
garbage_classification\clothes\clothes3976.jpg,clothes
garbage_classification\brown-glass\brown-glass312.jpg,brown-glass
garbage_classification\paper\paper464.jpg,paper
garbage_classification\clothes\clothes2435.jpg,clothes
garbage_classification\clothes\clothes386.jpg,clothes
garbage_classification\clothes\clothes889.jpg,clothes
garbage_classification\paper\paper458.jpg,paper
garbage_classification\clothes\clothes2423.jpg,clothes
garbage_classification\paper\paper597.jpg,paper
garbage_classification\clothes\clothes1139.jpg,clothes
garbage_classification\plastic\plastic596.jpg,plastic
garbage_classification\brown-glass\brown-glass162.jpg,brown-glass
garbage_classification\white-glass\white-glass590.jpg,white-glass
garbage_classification\white-glass\white-glass308.jpg,white-glass
garbage_classification\biological\biological646.jpg,biological
garbage_classification\shoes\shoes1420.jpg,shoes
garbage_classification\clothes\clothes1068.jpg,clothes
garbage_classification\clothes\clothes2164.jpg,clothes
garbage_classification\clothes\clothes1607.jpg,clothes
garbage_classification\biological\biological422.jpg,biological
garbage_classification\biological\biological463.jpg,biological
garbage_classification\trash\trash317.jpg,trash
garbage_classification\shoes\shoes702.jpg,shoes
garbage_classification\trash\trash52.jpg,trash
garbage_classification\brown-glass\brown-glass188.jpg,brown-glass
garbage_classification\clothes\clothes3428.jpg,clothes
garbage_classification\clothes\clothes1597.jpg,clothes
garbage_classification\brown-glass\brown-glass588.jpg,brown-glass
garbage_classification\clothes\clothes4825.jpg,clothes
garbage_classification\green-glass\green-glass35.jpg,green-glass
garbage_classification\clothes\clothes4788.jpg,clothes
garbage_classification\metal\metal276.jpg,metal
garbage_classification\white-glass\white-glass607.jpg,white-glass
garbage_classification\cardboard\cardboard568.jpg,cardboard
garbage_classification\clothes\clothes523.jpg,clothes
garbage_classification\clothes\clothes4840.jpg,clothes
garbage_classification\clothes\clothes4832.jpg,clothes
garbage_classification\shoes\shoes201.jpg,shoes
garbage_classification\shoes\shoes293.jpg,shoes
garbage_classification\green-glass\green-glass558.jpg,green-glass
garbage_classification\clothes\clothes2679.jpg,clothes
garbage_classification\biological\biological379.jpg,biological
garbage_classification\cardboard\cardboard512.jpg,cardboard
garbage_classification\shoes\shoes1264.jpg,shoes
garbage_classification\white-glass\white-glass501.jpg,white-glass
garbage_classification\cardboard\cardboard862.jpg,cardboard
garbage_classification\shoes\shoes1280.jpg,shoes
garbage_classification\paper\paper49.jpg,paper
garbage_classification\white-glass\white-glass48.jpg,white-glass
garbage_classification\shoes\shoes368.jpg,shoes
garbage_classification\brown-glass\brown-glass328.jpg,brown-glass
garbage_classification\white-glass\white-glass559.jpg,white-glass
garbage_classification\trash\trash689.jpg,trash
garbage_classification\battery\battery582.jpg,battery
garbage_classification\clothes\clothes656.jpg,clothes
garbage_classification\paper\paper979.jpg,paper
garbage_classification\clothes\clothes3967.jpg,clothes
garbage_classification\shoes\shoes1655.jpg,shoes
garbage_classification\clothes\clothes1555.jpg,clothes
garbage_classification\shoes\shoes314.jpg,shoes
garbage_classification\plastic\plastic762.jpg,plastic
garbage_classification\brown-glass\brown-glass204.jpg,brown-glass
garbage_classification\paper\paper176.jpg,paper
garbage_classification\metal\metal459.jpg,metal
garbage_classification\metal\metal404.jpg,metal
garbage_classification\clothes\clothes1393.jpg,clothes
garbage_classification\clothes\clothes1902.jpg,clothes
garbage_classification\biological\biological603.jpg,biological
garbage_classification\cardboard\cardboard40.jpg,cardboard
garbage_classification\clothes\clothes1838.jpg,clothes
garbage_classification\cardboard\cardboard366.jpg,cardboard
garbage_classification\white-glass\white-glass504.jpg,white-glass
garbage_classification\trash\trash217.jpg,trash
garbage_classification\biological\biological453.jpg,biological
garbage_classification\white-glass\white-glass274.jpg,white-glass
garbage_classification\battery\battery869.jpg,battery
garbage_classification\brown-glass\brown-glass305.jpg,brown-glass
garbage_classification\green-glass\green-glass578.jpg,green-glass
garbage_classification\biological\biological507.jpg,biological
garbage_classification\white-glass\white-glass647.jpg,white-glass
garbage_classification\brown-glass\brown-glass260.jpg,brown-glass
garbage_classification\battery\battery320.jpg,battery
garbage_classification\clothes\clothes2909.jpg,clothes
garbage_classification\metal\metal655.jpg,metal
garbage_classification\clothes\clothes4709.jpg,clothes
garbage_classification\clothes\clothes2875.jpg,clothes
garbage_classification\paper\paper646.jpg,paper
garbage_classification\trash\trash452.jpg,trash
garbage_classification\paper\paper857.jpg,paper
garbage_classification\battery\battery741.jpg,battery
garbage_classification\white-glass\white-glass315.jpg,white-glass
garbage_classification\clothes\clothes122.jpg,clothes
garbage_classification\clothes\clothes2866.jpg,clothes
garbage_classification\paper\paper278.jpg,paper
garbage_classification\clothes\clothes5281.jpg,clothes
garbage_classification\shoes\shoes726.jpg,shoes
garbage_classification\paper\paper302.jpg,paper
garbage_classification\metal\metal327.jpg,metal
garbage_classification\shoes\shoes1470.jpg,shoes
garbage_classification\plastic\plastic42.jpg,plastic
garbage_classification\plastic\plastic683.jpg,plastic
garbage_classification\brown-glass\brown-glass458.jpg,brown-glass
garbage_classification\clothes\clothes1128.jpg,clothes
garbage_classification\paper\paper844.jpg,paper
garbage_classification\clothes\clothes2118.jpg,clothes
garbage_classification\paper\paper989.jpg,paper
garbage_classification\shoes\shoes616.jpg,shoes
garbage_classification\biological\biological530.jpg,biological
garbage_classification\biological\biological894.jpg,biological
garbage_classification\plastic\plastic742.jpg,plastic
garbage_classification\shoes\shoes1487.jpg,shoes
garbage_classification\trash\trash71.jpg,trash
garbage_classification\shoes\shoes1018.jpg,shoes
garbage_classification\shoes\shoes913.jpg,shoes
garbage_classification\shoes\shoes1330.jpg,shoes
garbage_classification\green-glass\green-glass239.jpg,green-glass
garbage_classification\clothes\clothes1706.jpg,clothes
garbage_classification\clothes\clothes2894.jpg,clothes
garbage_classification\clothes\clothes1234.jpg,clothes
garbage_classification\plastic\plastic321.jpg,plastic
garbage_classification\brown-glass\brown-glass523.jpg,brown-glass
garbage_classification\clothes\clothes1999.jpg,clothes
garbage_classification\cardboard\cardboard630.jpg,cardboard
garbage_classification\cardboard\cardboard280.jpg,cardboard
garbage_classification\cardboard\cardboard124.jpg,cardboard
garbage_classification\clothes\clothes4632.jpg,clothes
garbage_classification\metal\metal141.jpg,metal
garbage_classification\clothes\clothes558.jpg,clothes
garbage_classification\plastic\plastic842.jpg,plastic
garbage_classification\cardboard\cardboard675.jpg,cardboard
garbage_classification\trash\trash292.jpg,trash
garbage_classification\green-glass\green-glass69.jpg,green-glass
garbage_classification\shoes\shoes318.jpg,shoes
garbage_classification\paper\paper170.jpg,paper
garbage_classification\paper\paper614.jpg,paper
garbage_classification\clothes\clothes4757.jpg,clothes
garbage_classification\shoes\shoes158.jpg,shoes
garbage_classification\clothes\clothes46.jpg,clothes
garbage_classification\clothes\clothes596.jpg,clothes
garbage_classification\shoes\shoes813.jpg,shoes
garbage_classification\green-glass\green-glass396.jpg,green-glass
garbage_classification\shoes\shoes1595.jpg,shoes
garbage_classification\plastic\plastic82.jpg,plastic
garbage_classification\white-glass\white-glass73.jpg,white-glass
garbage_classification\shoes\shoes1136.jpg,shoes
garbage_classification\battery\battery370.jpg,battery
garbage_classification\clothes\clothes2718.jpg,clothes
garbage_classification\shoes\shoes1801.jpg,shoes
garbage_classification\brown-glass\brown-glass392.jpg,brown-glass
garbage_classification\metal\metal177.jpg,metal
garbage_classification\battery\battery726.jpg,battery
garbage_classification\clothes\clothes1843.jpg,clothes
garbage_classification\clothes\clothes4267.jpg,clothes
garbage_classification\clothes\clothes5189.jpg,clothes
garbage_classification\shoes\shoes1857.jpg,shoes
garbage_classification\clothes\clothes1771.jpg,clothes
garbage_classification\clothes\clothes1827.jpg,clothes
garbage_classification\clothes\clothes2595.jpg,clothes
garbage_classification\clothes\clothes3285.jpg,clothes
garbage_classification\brown-glass\brown-glass298.jpg,brown-glass
garbage_classification\battery\battery66.jpg,battery
garbage_classification\clothes\clothes1311.jpg,clothes
garbage_classification\clothes\clothes2722.jpg,clothes
garbage_classification\shoes\shoes104.jpg,shoes
garbage_classification\clothes\clothes4396.jpg,clothes
garbage_classification\clothes\clothes5242.jpg,clothes
garbage_classification\paper\paper342.jpg,paper
garbage_classification\clothes\clothes1402.jpg,clothes
garbage_classification\biological\biological519.jpg,biological
garbage_classification\brown-glass\brown-glass172.jpg,brown-glass
garbage_classification\trash\trash555.jpg,trash
garbage_classification\clothes\clothes1087.jpg,clothes
garbage_classification\biological\biological506.jpg,biological
garbage_classification\battery\battery653.jpg,battery
garbage_classification\brown-glass\brown-glass309.jpg,brown-glass
garbage_classification\clothes\clothes1636.jpg,clothes
garbage_classification\biological\biological73.jpg,biological
garbage_classification\green-glass\green-glass15.jpg,green-glass
garbage_classification\shoes\shoes708.jpg,shoes
garbage_classification\clothes\clothes4292.jpg,clothes
garbage_classification\trash\trash519.jpg,trash
garbage_classification\biological\biological8.jpg,biological
garbage_classification\green-glass\green-glass27.jpg,green-glass
garbage_classification\clothes\clothes539.jpg,clothes
garbage_classification\cardboard\cardboard814.jpg,cardboard
garbage_classification\trash\trash8.jpg,trash
garbage_classification\biological\biological554.jpg,biological
garbage_classification\metal\metal43.jpg,metal
garbage_classification\shoes\shoes1340.jpg,shoes
garbage_classification\clothes\clothes1891.jpg,clothes
garbage_classification\brown-glass\brown-glass527.jpg,brown-glass
garbage_classification\green-glass\green-glass268.jpg,green-glass
garbage_classification\brown-glass\brown-glass606.jpg,brown-glass
garbage_classification\plastic\plastic725.jpg,plastic
garbage_classification\plastic\plastic601.jpg,plastic
garbage_classification\clothes\clothes1454.jpg,clothes
garbage_classification\clothes\clothes2746.jpg,clothes
garbage_classification\clothes\clothes2581.jpg,clothes
garbage_classification\green-glass\green-glass40.jpg,green-glass
garbage_classification\cardboard\cardboard807.jpg,cardboard
garbage_classification\plastic\plastic583.jpg,plastic
garbage_classification\battery\battery35.jpg,battery
garbage_classification\cardboard\cardboard570.jpg,cardboard
garbage_classification\paper\paper258.jpg,paper
garbage_classification\trash\trash166.jpg,trash
garbage_classification\clothes\clothes755.jpg,clothes
garbage_classification\white-glass\white-glass454.jpg,white-glass
garbage_classification\biological\biological790.jpg,biological
garbage_classification\clothes\clothes757.jpg,clothes
garbage_classification\clothes\clothes1164.jpg,clothes
garbage_classification\paper\paper750.jpg,paper
garbage_classification\brown-glass\brown-glass360.jpg,brown-glass
garbage_classification\clothes\clothes5044.jpg,clothes
garbage_classification\trash\trash614.jpg,trash
garbage_classification\battery\battery349.jpg,battery
garbage_classification\plastic\plastic441.jpg,plastic
garbage_classification\clothes\clothes1252.jpg,clothes
garbage_classification\clothes\clothes241.jpg,clothes
garbage_classification\paper\paper721.jpg,paper
garbage_classification\clothes\clothes3672.jpg,clothes
garbage_classification\clothes\clothes3876.jpg,clothes
garbage_classification\clothes\clothes2636.jpg,clothes
garbage_classification\paper\paper168.jpg,paper
garbage_classification\clothes\clothes3170.jpg,clothes
garbage_classification\clothes\clothes2768.jpg,clothes
garbage_classification\white-glass\white-glass40.jpg,white-glass
garbage_classification\clothes\clothes207.jpg,clothes
garbage_classification\brown-glass\brown-glass488.jpg,brown-glass
garbage_classification\battery\battery327.jpg,battery
garbage_classification\cardboard\cardboard314.jpg,cardboard
garbage_classification\metal\metal695.jpg,metal
garbage_classification\shoes\shoes193.jpg,shoes
garbage_classification\paper\paper961.jpg,paper
garbage_classification\plastic\plastic323.jpg,plastic
garbage_classification\clothes\clothes2927.jpg,clothes
garbage_classification\metal\metal255.jpg,metal
garbage_classification\clothes\clothes4995.jpg,clothes
garbage_classification\shoes\shoes1128.jpg,shoes
garbage_classification\cardboard\cardboard480.jpg,cardboard
garbage_classification\paper\paper917.jpg,paper
garbage_classification\paper\paper1041.jpg,paper
garbage_classification\trash\trash568.jpg,trash
garbage_classification\trash\trash330.jpg,trash
garbage_classification\cardboard\cardboard426.jpg,cardboard
garbage_classification\paper\paper980.jpg,paper
garbage_classification\green-glass\green-glass66.jpg,green-glass
garbage_classification\clothes\clothes4934.jpg,clothes
garbage_classification\clothes\clothes2873.jpg,clothes
garbage_classification\clothes\clothes3000.jpg,clothes
garbage_classification\trash\trash150.jpg,trash
garbage_classification\clothes\clothes3244.jpg,clothes
garbage_classification\clothes\clothes2994.jpg,clothes
garbage_classification\plastic\plastic18.jpg,plastic
garbage_classification\shoes\shoes106.jpg,shoes
garbage_classification\trash\trash282.jpg,trash
garbage_classification\clothes\clothes1373.jpg,clothes
garbage_classification\plastic\plastic159.jpg,plastic
garbage_classification\paper\paper1023.jpg,paper
garbage_classification\metal\metal198.jpg,metal
garbage_classification\shoes\shoes1327.jpg,shoes
garbage_classification\trash\trash537.jpg,trash
garbage_classification\clothes\clothes2380.jpg,clothes
garbage_classification\paper\paper571.jpg,paper
garbage_classification\clothes\clothes780.jpg,clothes
garbage_classification\paper\paper254.jpg,paper
garbage_classification\cardboard\cardboard560.jpg,cardboard
garbage_classification\brown-glass\brown-glass22.jpg,brown-glass
garbage_classification\metal\metal561.jpg,metal
garbage_classification\clothes\clothes4295.jpg,clothes
garbage_classification\trash\trash635.jpg,trash
garbage_classification\biological\biological755.jpg,biological
garbage_classification\paper\paper308.jpg,paper
garbage_classification\biological\biological471.jpg,biological
garbage_classification\biological\biological281.jpg,biological
garbage_classification\plastic\plastic332.jpg,plastic
garbage_classification\white-glass\white-glass484.jpg,white-glass
garbage_classification\white-glass\white-glass382.jpg,white-glass
garbage_classification\shoes\shoes927.jpg,shoes
garbage_classification\trash\trash572.jpg,trash
garbage_classification\green-glass\green-glass88.jpg,green-glass
garbage_classification\paper\paper147.jpg,paper
garbage_classification\biological\biological123.jpg,biological
garbage_classification\cardboard\cardboard324.jpg,cardboard
garbage_classification\trash\trash474.jpg,trash
garbage_classification\shoes\shoes968.jpg,shoes
garbage_classification\plastic\plastic430.jpg,plastic
garbage_classification\plastic\plastic358.jpg,plastic
garbage_classification\paper\paper530.jpg,paper
garbage_classification\clothes\clothes1233.jpg,clothes
garbage_classification\shoes\shoes1317.jpg,shoes
garbage_classification\paper\paper412.jpg,paper
garbage_classification\plastic\plastic612.jpg,plastic
garbage_classification\trash\trash672.jpg,trash
garbage_classification\plastic\plastic29.jpg,plastic
garbage_classification\clothes\clothes4854.jpg,clothes
garbage_classification\metal\metal32.jpg,metal
garbage_classification\metal\metal535.jpg,metal
garbage_classification\clothes\clothes3492.jpg,clothes
garbage_classification\green-glass\green-glass403.jpg,green-glass
garbage_classification\battery\battery421.jpg,battery
garbage_classification\shoes\shoes1707.jpg,shoes
garbage_classification\brown-glass\brown-glass203.jpg,brown-glass
garbage_classification\battery\battery927.jpg,battery
garbage_classification\clothes\clothes1819.jpg,clothes
garbage_classification\metal\metal321.jpg,metal
garbage_classification\cardboard\cardboard493.jpg,cardboard
garbage_classification\cardboard\cardboard646.jpg,cardboard
garbage_classification\paper\paper809.jpg,paper
garbage_classification\plastic\plastic418.jpg,plastic
garbage_classification\plastic\plastic462.jpg,plastic
garbage_classification\shoes\shoes1926.jpg,shoes
garbage_classification\shoes\shoes440.jpg,shoes
garbage_classification\brown-glass\brown-glass28.jpg,brown-glass
garbage_classification\clothes\clothes4930.jpg,clothes
garbage_classification\clothes\clothes4378.jpg,clothes
garbage_classification\plastic\plastic294.jpg,plastic
garbage_classification\clothes\clothes838.jpg,clothes
garbage_classification\metal\metal746.jpg,metal
garbage_classification\clothes\clothes1070.jpg,clothes
garbage_classification\clothes\clothes2707.jpg,clothes
garbage_classification\clothes\clothes5113.jpg,clothes
garbage_classification\plastic\plastic242.jpg,plastic
garbage_classification\clothes\clothes1293.jpg,clothes
garbage_classification\brown-glass\brown-glass331.jpg,brown-glass
garbage_classification\biological\biological781.jpg,biological
garbage_classification\cardboard\cardboard817.jpg,cardboard
garbage_classification\clothes\clothes2214.jpg,clothes
garbage_classification\battery\battery517.jpg,battery
garbage_classification\shoes\shoes1957.jpg,shoes
garbage_classification\clothes\clothes4115.jpg,clothes
garbage_classification\paper\paper347.jpg,paper
garbage_classification\brown-glass\brown-glass129.jpg,brown-glass
garbage_classification\plastic\plastic541.jpg,plastic
garbage_classification\cardboard\cardboard485.jpg,cardboard
garbage_classification\trash\trash683.jpg,trash
garbage_classification\biological\biological716.jpg,biological
garbage_classification\clothes\clothes3425.jpg,clothes
garbage_classification\plastic\plastic89.jpg,plastic
garbage_classification\paper\paper810.jpg,paper
garbage_classification\trash\trash589.jpg,trash
garbage_classification\clothes\clothes4275.jpg,clothes
garbage_classification\cardboard\cardboard766.jpg,cardboard
garbage_classification\brown-glass\brown-glass179.jpg,brown-glass
garbage_classification\green-glass\green-glass57.jpg,green-glass
garbage_classification\clothes\clothes5125.jpg,clothes
garbage_classification\metal\metal132.jpg,metal
garbage_classification\battery\battery500.jpg,battery
garbage_classification\biological\biological828.jpg,biological
garbage_classification\clothes\clothes5299.jpg,clothes
garbage_classification\clothes\clothes2262.jpg,clothes
garbage_classification\clothes\clothes532.jpg,clothes
garbage_classification\clothes\clothes3030.jpg,clothes
garbage_classification\clothes\clothes4978.jpg,clothes
garbage_classification\paper\paper1013.jpg,paper
garbage_classification\shoes\shoes369.jpg,shoes
garbage_classification\clothes\clothes4996.jpg,clothes
garbage_classification\cardboard\cardboard809.jpg,cardboard
garbage_classification\paper\paper383.jpg,paper
garbage_classification\clothes\clothes4798.jpg,clothes
garbage_classification\clothes\clothes4128.jpg,clothes
garbage_classification\trash\trash386.jpg,trash
garbage_classification\clothes\clothes2236.jpg,clothes
garbage_classification\white-glass\white-glass587.jpg,white-glass
garbage_classification\green-glass\green-glass180.jpg,green-glass
garbage_classification\clothes\clothes4647.jpg,clothes
garbage_classification\metal\metal451.jpg,metal
garbage_classification\white-glass\white-glass231.jpg,white-glass
garbage_classification\clothes\clothes127.jpg,clothes
garbage_classification\clothes\clothes1757.jpg,clothes
garbage_classification\plastic\plastic697.jpg,plastic
garbage_classification\clothes\clothes4740.jpg,clothes
garbage_classification\shoes\shoes1494.jpg,shoes
garbage_classification\shoes\shoes580.jpg,shoes
garbage_classification\clothes\clothes2804.jpg,clothes
garbage_classification\green-glass\green-glass289.jpg,green-glass
garbage_classification\metal\metal107.jpg,metal
garbage_classification\clothes\clothes3151.jpg,clothes
garbage_classification\biological\biological661.jpg,biological
garbage_classification\clothes\clothes3455.jpg,clothes
garbage_classification\clothes\clothes3052.jpg,clothes
garbage_classification\white-glass\white-glass486.jpg,white-glass
garbage_classification\shoes\shoes1142.jpg,shoes
garbage_classification\clothes\clothes2723.jpg,clothes
garbage_classification\paper\paper572.jpg,paper
garbage_classification\paper\paper711.jpg,paper
garbage_classification\green-glass\green-glass529.jpg,green-glass
garbage_classification\clothes\clothes252.jpg,clothes
garbage_classification\clothes\clothes1367.jpg,clothes
garbage_classification\clothes\clothes951.jpg,clothes
garbage_classification\cardboard\cardboard702.jpg,cardboard
garbage_classification\clothes\clothes4604.jpg,clothes
garbage_classification\cardboard\cardboard566.jpg,cardboard
garbage_classification\clothes\clothes4042.jpg,clothes
garbage_classification\clothes\clothes5143.jpg,clothes
garbage_classification\clothes\clothes2069.jpg,clothes
garbage_classification\shoes\shoes321.jpg,shoes
garbage_classification\biological\biological19.jpg,biological
garbage_classification\cardboard\cardboard522.jpg,cardboard
garbage_classification\trash\trash437.jpg,trash
garbage_classification\clothes\clothes2592.jpg,clothes
garbage_classification\trash\trash69.jpg,trash
garbage_classification\white-glass\white-glass740.jpg,white-glass
garbage_classification\clothes\clothes2312.jpg,clothes
garbage_classification\clothes\clothes309.jpg,clothes
garbage_classification\clothes\clothes123.jpg,clothes
garbage_classification\clothes\clothes5109.jpg,clothes
garbage_classification\shoes\shoes532.jpg,shoes
garbage_classification\clothes\clothes1984.jpg,clothes
garbage_classification\clothes\clothes5064.jpg,clothes
garbage_classification\metal\metal689.jpg,metal
garbage_classification\brown-glass\brown-glass314.jpg,brown-glass
garbage_classification\trash\trash87.jpg,trash
garbage_classification\shoes\shoes1332.jpg,shoes
garbage_classification\paper\paper976.jpg,paper
garbage_classification\shoes\shoes662.jpg,shoes
garbage_classification\white-glass\white-glass729.jpg,white-glass
garbage_classification\white-glass\white-glass390.jpg,white-glass
garbage_classification\clothes\clothes1860.jpg,clothes
garbage_classification\shoes\shoes277.jpg,shoes
garbage_classification\shoes\shoes263.jpg,shoes
garbage_classification\plastic\plastic178.jpg,plastic
garbage_classification\metal\metal205.jpg,metal
garbage_classification\plastic\plastic250.jpg,plastic
garbage_classification\biological\biological909.jpg,biological
garbage_classification\paper\paper995.jpg,paper
garbage_classification\cardboard\cardboard676.jpg,cardboard
garbage_classification\plastic\plastic616.jpg,plastic
garbage_classification\paper\paper756.jpg,paper
garbage_classification\clothes\clothes3911.jpg,clothes
garbage_classification\brown-glass\brown-glass411.jpg,brown-glass
garbage_classification\shoes\shoes10.jpg,shoes
garbage_classification\cardboard\cardboard771.jpg,cardboard
garbage_classification\biological\biological164.jpg,biological
garbage_classification\clothes\clothes2590.jpg,clothes
garbage_classification\clothes\clothes4988.jpg,clothes
garbage_classification\clothes\clothes933.jpg,clothes
garbage_classification\battery\battery422.jpg,battery
garbage_classification\biological\biological849.jpg,biological
garbage_classification\clothes\clothes108.jpg,clothes
garbage_classification\cardboard\cardboard100.jpg,cardboard
garbage_classification\battery\battery850.jpg,battery
garbage_classification\plastic\plastic638.jpg,plastic
garbage_classification\plastic\plastic362.jpg,plastic
garbage_classification\metal\metal465.jpg,metal
garbage_classification\shoes\shoes1721.jpg,shoes
garbage_classification\clothes\clothes1099.jpg,clothes
garbage_classification\shoes\shoes749.jpg,shoes
garbage_classification\battery\battery723.jpg,battery
garbage_classification\clothes\clothes3970.jpg,clothes
garbage_classification\shoes\shoes93.jpg,shoes
garbage_classification\shoes\shoes212.jpg,shoes
garbage_classification\white-glass\white-glass763.jpg,white-glass
garbage_classification\clothes\clothes4768.jpg,clothes
garbage_classification\clothes\clothes1134.jpg,clothes
garbage_classification\trash\trash392.jpg,trash
garbage_classification\clothes\clothes3465.jpg,clothes
garbage_classification\clothes\clothes2389.jpg,clothes
garbage_classification\white-glass\white-glass630.jpg,white-glass
garbage_classification\trash\trash209.jpg,trash
garbage_classification\biological\biological738.jpg,biological
garbage_classification\trash\trash185.jpg,trash
garbage_classification\plastic\plastic14.jpg,plastic
garbage_classification\shoes\shoes608.jpg,shoes
garbage_classification\metal\metal77.jpg,metal
garbage_classification\clothes\clothes1044.jpg,clothes
garbage_classification\clothes\clothes4937.jpg,clothes
garbage_classification\clothes\clothes1780.jpg,clothes
garbage_classification\clothes\clothes4766.jpg,clothes
garbage_classification\clothes\clothes2938.jpg,clothes
garbage_classification\paper\paper685.jpg,paper
garbage_classification\metal\metal725.jpg,metal
garbage_classification\clothes\clothes2519.jpg,clothes
garbage_classification\clothes\clothes234.jpg,clothes
garbage_classification\shoes\shoes180.jpg,shoes
garbage_classification\clothes\clothes1125.jpg,clothes
garbage_classification\biological\biological17.jpg,biological
garbage_classification\trash\trash13.jpg,trash
garbage_classification\trash\trash646.jpg,trash
garbage_classification\clothes\clothes4671.jpg,clothes
garbage_classification\clothes\clothes3050.jpg,clothes
garbage_classification\trash\trash293.jpg,trash
garbage_classification\brown-glass\brown-glass47.jpg,brown-glass
garbage_classification\clothes\clothes2689.jpg,clothes
garbage_classification\shoes\shoes17.jpg,shoes
garbage_classification\green-glass\green-glass590.jpg,green-glass
garbage_classification\brown-glass\brown-glass82.jpg,brown-glass
garbage_classification\biological\biological239.jpg,biological
garbage_classification\cardboard\cardboard239.jpg,cardboard
garbage_classification\biological\biological290.jpg,biological
garbage_classification\metal\metal756.jpg,metal
garbage_classification\clothes\clothes1058.jpg,clothes
garbage_classification\shoes\shoes405.jpg,shoes
garbage_classification\clothes\clothes1497.jpg,clothes
garbage_classification\trash\trash34.jpg,trash
garbage_classification\clothes\clothes2387.jpg,clothes
garbage_classification\biological\biological794.jpg,biological
garbage_classification\metal\metal96.jpg,metal
garbage_classification\clothes\clothes1092.jpg,clothes
garbage_classification\paper\paper370.jpg,paper
garbage_classification\paper\paper713.jpg,paper
garbage_classification\shoes\shoes1260.jpg,shoes
garbage_classification\battery\battery570.jpg,battery
garbage_classification\plastic\plastic766.jpg,plastic
garbage_classification\white-glass\white-glass25.jpg,white-glass
garbage_classification\paper\paper129.jpg,paper
garbage_classification\battery\battery443.jpg,battery
garbage_classification\green-glass\green-glass16.jpg,green-glass
garbage_classification\brown-glass\brown-glass186.jpg,brown-glass
garbage_classification\brown-glass\brown-glass52.jpg,brown-glass
garbage_classification\metal\metal646.jpg,metal
garbage_classification\battery\battery166.jpg,battery
garbage_classification\white-glass\white-glass203.jpg,white-glass
garbage_classification\clothes\clothes1430.jpg,clothes
garbage_classification\trash\trash419.jpg,trash
garbage_classification\clothes\clothes1997.jpg,clothes
garbage_classification\plastic\plastic40.jpg,plastic
garbage_classification\biological\biological127.jpg,biological
garbage_classification\clothes\clothes107.jpg,clothes
